Time,Influnent COD,Influnent SO42-,Methane at location 4,O2 at location 4,Ph at location 5,ORP at location 6,V at location 7
day1 13:20,,,1.977580446,0.303051786,7.141710149,-337.5691357,0.47342256
day1 13:25,,,1.782535329,0.312587087,7.012066759,-339.0952034,0.477250306
day1 13:30,,,0.915387822,0.307758108,7.045377927,-318.1831924,0.477502421
day1 13:35,,,1.633056603,0.305196066,7.071500543,-357.6485421,0.477396838
day1 13:40,,,1.099833925,0.313575733,6.971076614,-328.6361463,0.470831488
day1 13:45,,,1.697246656,0.321934422,6.853148897,-340.0699325,0.486582575
day1 13:50,,,3.109434437,0.333859975,6.941288951,-356.7006864,0.481292383
day1 13:55,,,3.287349796,0.32543966,6.930673678,-324.2308606,0.446484132
day1 14:00,202.8861698,46.6335055,1.858722622,0.356474718,6.983330037,-360.5596912,0.498444841
day1 14:05,,,2.329329095,0.337760056,7.177708409,-370.7642804,0.459716511
day1 14:10,,,1.813629546,0.323797092,7.069893955,-373.5496489,0.4644316
day1 14:15,,,2.308266998,0.313368599,6.974138087,-374.2692549,0.452529564
day1 14:20,,,1.971559931,0.324248071,6.686694857,-379.4061377,0.438625857
day1 14:25,,,1.457887606,0.292766271,7.187244908,-384.0983345,0.412653095
day1 14:30,,,1.607001207,0.273155829,7.211325223,-388.5101095,0.413682279
day1 14:35,,,1.621434317,0.274534608,6.843413462,-398.9497563,0.406883588
day1 14:40,,,2.076841209,0.26465857,7.040243291,-415.6950844,0.392635296
day1 14:45,,,1.890149015,0.268830882,7.090881239,-404.808443,0.374866232
day1 14:50,,,1.437915304,0.245291533,7.09389252,-409.4640732,0.367897984
day1 14:55,,,0.750592571,0.233062176,6.943980895,-430.3267334,0.348096214
day1 15:00,,,1.488343979,0.219465268,7.303329448,-437.5407789,0.344772299
day1 15:05,,,0.370643,0.244407021,7.020195643,-431.287783,0.33553012
day1 15:10,,,1.981766355,0.237187136,7.218188847,-461.2749664,0.32583307
day1 15:15,,,2.044503085,0.270536831,7.289319009,-434.8144069,0.323822124
day1 15:20,,,1.799036184,0.275044632,6.837587757,-430.7822884,0.31655701
day1 15:25,,,1.496333768,0.310478094,6.876628381,-436.9527737,0.309584633
day1 15:30,,,2.448821888,0.339585353,7.025517769,-431.448642,0.31855807
day1 15:35,,,1.383387004,0.334523265,6.758812027,-445.3033086,0.295395121
day1 15:40,,,1.94702961,0.362202436,6.716844273,-403.8586899,0.288428453
day1 15:45,,,1.323959842,0.374202816,6.365090428,-441.4292654,0.28817407
day1 15:50,,,1.527620814,0.394500331,6.964973623,-430.9255054,0.28052761
day1 15:55,,,2.566880463,0.413595866,6.764402673,-443.0018969,0.273613664
